question,response
What is required to file an exemption online?,"<ul>
<li>You must be the owner of the property or you are buying it under recorded contract (tenant-shareholders of a coop house corporation, trust holders, shareholders, partners or members of the entity that owns the property are currently not eligible to file online due to additional documentation required)</li>
<li>Have a valid Indiana driver's license or state ID</li>
<li>Have a credit card</li>
<li>Have a valid email address</li>
<li>Have Acrobat Reader 4.05 or higher &nbsp;(Acrobat Reader is available for free from the&nbsp;<span><a title=""Download ADOBE Reader"" href=""http://get.adobe.com/reader/"" _mce_href=""http://get.adobe.com/reader/"" target=""_blank"">Adobe website</a></span>)</li>
</ul><p><br _mce_bogus=""1""></p>"
Can I apply online if I perform the work myself?,"<p>Yes, you may apply online of you perform the work yourself. Yo will need to check the box(es) next to appropriate work type(s) on the online form and upload the Owner Affidavit.</p>
<p>NOTE: Single notarized Owner Affidavit document must be uploaded AFTER you submit the form. Simply click Manage Attachments for the request in question and then upload ""Owners Permit Affidavit"" required attachment.</p>"
I can't find my specialty contractor in good standing in the contractor lookup?,"This may happen when your are using a general contractor for a specialty trade. For example, you may be using a a general contractor to do your insulation but the contractor may not be designated as an insulation contractor. In such case, use the ""Additional Contractor License #"" field and search for the contractor by switching the license type drop down."
Can I get the Survey Approval letter electronically?,"<p>Currently, you may request Survey Approval letter by contacting the Survey Department via email by clicking <a href=""https://www.lakecountyin.org/portal/user/anon/page/feedback?pid=5385"" target=""_blank"">HERE</a>.</p>
<p>The construction agreement form will need to be filled out for all new site plans. This form should be turned in with the survey at time of application.<br />For the foundation & as-built, all they need is their survey & permit number with information for return if other than the e-mail the request came in on.</p>"
How to contact us by phone?,"<ul>
<li>Docket Admin. and Office Manager - 881.6146</li>
<li>Bailiff -881.6147</li>
<li>Court Reporter -881.6148</li>
<li>Teleconferences (after all parties are on the line) - 881.6147 or 881.6148</li>
</ul>
<p>Note:  Room Four does not use CourtCall</p>"
"Does Health Department provide any educational programs?
","Programs are provided by the Health Educator in schools concerning AIDS, dental care, puberty education, hygiene, nutrition, eating disorders, hand washing and teacher in-services. By request, the Health Educator participates in public health fairs."
How much will it cost me to pay the Permit Fee online?,"<p>The online transaction fee collected in addition to the Permit fee is:</p>
<ol>
<li>2.5% of the Permit Fee, or</li>
<li>$1.49 - which ever one is greater</li>
</ol>
<p>The transaction fee is collected by the payment gateway vendor.</p>"
Why do I get charged the Filing Fee?,The $3.50 Filing Fee was approved via County Ordinance to cover the cost of maintaining the online building application filing system. Portion of this fee ($0.50) is collected by the payment gateway vendor.
Can I use electronic check to pay for the Filing Fee or Permit Fee?,"Currently, electronic checks (e-checks) are not accepted."
Why is my property Parcel Number invalid?,"<p>These may be the reasons why Parcel Number is being rejected:</p>
<ol>
<li>The Parcel Number you entered is invalid</li>
<li>The address you entered is invalid</li>
<li>The property is too new to be registered in the County property tax management system</li>
<li>The property is located in incorporated part of the County. It must end with one of the following: ""001""<span class=""s1"">,</span><span class=""s2""> </span>""002""<span class=""s1"">,</span><span class=""s2""> </span>""007""<span class=""s1"">,</span><span class=""s2""> </span>""012""<span class=""s1"">,</span><span class=""s2""> </span>""013""<span class=""s1"">,</span><span class=""s2""> </span>""016""<span class=""s1"">,</span><span class=""s2""> </span>""028""<span class=""s1"">,</span><span class=""s2""> </span>""032""<span class=""s1"">,</span><span class=""s2""> </span>""037""<span class=""s1"">,</span><span class=""s2""> </span>""041""<span class=""s1"">,</span><span class=""s2""> </span>""044""<span class=""s1"">,</span><span class=""s2""> </span>""055""</li>
</ol>
<p>Use Property Lookup tool to retrieve correct Parcel Number using Owner Name, Property Address or Property Key.</p>"
Why is the contractor I am working with not listed in the Contractor Lookup? ,"<p>Only Lake County licensed contractors in good standing will be listed. If particular contractor is not found in the search, it usually means that they:</p>
<ol>
<li>Did not renew their license, and/or</li>
<li>Did not update their Insurance, and/or</li>
<li>Did not update their Bond</li>
</ol>
<p>You will not be able to file online (or in person) unless a contractor you use is in good standing.</p>"
Do I have to pay the Permit Fee with a credit card?,"You will need to pay the online Application Filing Fee ($3.50) with a credit card but the Permit Fee can be paid with cash or check. If you want to pay the Permit Fee with cash or check, you will have to visit the Building Department in person. Please ensure that your request is in PaymentPending state before visiting the Building Department."
Important Information about Court Appearances,"You must appear in court for all your court hearings unless told otherwise by the judge or your lawyer. It can take several months for a case to move through the court system. During that time, it is important for you to keep in touch with your lawyer and to make all court appearances until your lawyer tells you that your case is over."
Why are attorneys made available from the Public Defender’s Office?,"Under the United States Constitution and Indiana Constitution, we have an adversarial justice system. This means that one lawyer represents the State, another represents the accused. A fair adversarial system requires that the accused and the prosecution have attorneys with equal resources available to them in order to achieve both truth and justice in the courts. Accordingly, under the law as set forth in the United States Constitution, anyone charged with any serious criminal offense in the United States is entitled to have a lawyer representing them whether that person can afford a lawyer or not. "
What Is a Public Defender?,"A public defender is an attorney, who represents people charged with criminal offenses who cannot afford to hire a private attorney. Like any other attorney, a public defender has graduated from an ABA accredited law school, has passed the Indiana bar exam, and has a license to practice law. Public defenders are trained carefully through training programs and are required to complete continuing legal education classes each year. In addition, they attend local and national conferences to keep themselves current in the law and to sharpen their trial skills."
"IF I AM ARRESTED, SHOULD I TALK TO THE POLICE?","If you are arrested, you should request to speak to a lawyer and you should obtain advice from a lawyer before answering police questions. If you ask to speak to a lawyer, a lawyer will be provided for you – wait and speak to that lawyer before answering questions."
"My Felony was dropped to a Misdemeanor, but background checks are still showing that I have a felony. Why?","It appears that the state does not forward the information regarding a person's Class 6 designation from a felony to misdemeanor to anyone. This means that when background checks are done, the charges are still showing as felonies."
How do I retain the services of a Public Defender?,"If a person is determined financially unable to retain a private attorney, the courts will appoint the Lake County Public Defender's Office as the legal representative. This appointment usually happens at the first court appearance which is called an Initial Hearing."
Working With Your Attorney,"<p>It takes time, sometimes several months, for a case to move through the courts. During that time, you can do many things to assist your attorney in working on your case. These include:</p>
<ul>
<li>Be on time for court and other legal      appointments. If you are delayed for any reason, call your attorney.</li>
<li>Provide current contact information.      Give your attorney your home and work addresses, your home, work, mobile,      and message phone numbers, and let your attorney know immediately if any      of these change.</li>
<li>Maintain regular contact with your      attorney.</li>
<li>Dress appropriately for court.</li>
<li>Give your attorney a list of possible      witnesses.</li>
<li>Give your attorney copies of all      relevant documents.</li>
<li>Do not discuss your case with anyone      other than your attorney or our office staff. Since anything you say may      be used against you in trial, you should not discuss the case with family      members, friends, other inmates, detention officers, probation officers,      in person or on the telephone.</li>
</ul>
<p>Remember that all personal telephone and Telemate calls made from the jail <strong><span style=""text-decoration: underline;"">are recorded</span></strong>. The Prosecutor sends these recordings out to be reviewed for any information that may pertain to your case. Also, the Prosecutor has the ability to watch these recordings at any time. Any information contains in these calls can be used in your trial.&nbsp;</p>"
Does the Public Defender handle matters other than Criminal Cases?,"The Public Defender's Office may only handle Felony Criminal Cases charged in Lake County Indiana, as well as Appeals cases that arise out of Lake County."
How do I continue a Court Date?,A motion to continue must be filed with the Clerk before the court date or a party can ask for a continuance at a Hearing.  The Court has discretion to grant or deny a continuance.
What is the Status of my case?,"<p>Consult any papers you received. Contact your Attorney if you are represented. You can also track the progress of a case on the <a href=""https://www.lakecountyin.org/portal/user/anon/page/online-docket-welcome"">Online Docket</a> or by contacting the Clerk of the Court, Phone: 219-755-3465.</p>"
"I missed my Hearing, what happened in Court?","<p>Contact your Attorney if you are represented. The results of any hearing will be reflected in the Court’s Chronological Case Summary which can be accesses via the <a href=""https://www.lakecountyin.org/portal/user/anon/page/online-docket-welcome"">Online Docket</a> or by contacting the Clerk of the Court, Phone: 219-755-3465.</p>"
When is my next Court Date?,"<p>Consult any papers you received. Contact your Attorney if you are represented. You can also obtain court dates on the <a href=""https://www.lakecountyin.org/portal/user/anon/page/online-docket-welcome"">Online Docket</a> or from the Clerk of the Court, Phone 219-755-3465.</p>"
"We are a not-for-profit entity (charitable, religious, educational, etc.) and have personal property, but since we receive an exemption, do we have to file a personal property tax eturn?","<p>Yes, the annual filing of a personal property tax return is still required. Indiana law states that the  property is subject to taxation until the entity follows the statutory procedures for obtaining the   exemption. Basically this means that the entity files a personal property tax return to assess the   property and then it files the exemption application as required to claim an exemption on the   assessment. The county property tax assessment board of appeals (PTABOA) then reviews the   exemption each year to determine if the property&rsquo;s use qualifies it for a full or partial exemption   or no exemption at all.</p>"
Is it possible that the benefits of the Constitutional tax cap could over-ride the benefits of the tax abatement deduction?,"<p>Yes, it is possible. The question is very case specific and would be based on the assessed value,  the size of the abatement deduction, and the tax rate for that taxing district.</p>
<p>Please contact your assessment division field representative or Barry Wood at (317) 232-3762 or   bwood@dlgf.in.gov with questions.</p>"
What Papers should I file in my case?,"<p>The Court cannot provide legal advice. For Self-Represented Parties, court forms available at the <a href=""javascript:openExtWindow('http://cms.lakecountyin.org/opencms/opencms/lcportal-cms/circuit-court/menus/left_menu/general/self-service.html','Self-Service Legal Center')"">Self-Service Legal Center</a>.</p>"
Could you explain how the Constitutional tax cap works with a personal property assessment?,"<p>Basically, the gross assessed value less any deductions equals the net assessed value, which is  multiplied by the tax rate for every one hundred dollars ($100) of assessed valuation, which   equals an amount due. Then the gross assessed value is multiplied by the cap rate of three   percent (3%) to arrive at an amount due. The actual tax liability is the lesser of these two   numbers.</p>"
Was my Motion to Continue granted?,"<p>You can obtain a ruling a motion via the <a href=""https://www.lakecountyin.org/portal/user/anon/page/online-docket-welcome"">Online Docket</a> or by contacting the Clerk of the Court, Phone: 219-755-3465.</p>"
"As of March 1, I was in the process of installing a production line in my business. This production line was not capitalized on March 1, but was included on the balance sheet as construction in process. This production line was completed and capitalized,","<p>Yes, the cost of the production line needs to be reported on the Form 103-Long. A further  explanation can be found in 50 IAC 4.2-6-1. Personal property not placed in service is defined as   property which has not been depreciated and is not eligible for federal income tax depreciation.   Construction in Process (CIP) is an example of equipment not placed in service. It is physically   there on the assessment date, but is not completely assembled and functioning. The True Tax   Value of this equipment would be ten percent (10%) of the cost of the qualified  placed in service. This would be disclosed on line 59 of the Form 103-Long.</p>"
"I own a small accounting business. In completing my personal property return, there are questions on page 1 of the return about leased equipment. On March 1, my business is in possession of a leased copy machine and a leased postage mailing machine. In re","<p>The personal property rule has a section (50 IAC 4.2-8) on leased equipment. Leased equipment  is defined as being either a capital or operating lease. A &ldquo;capital lease&rdquo; is defined as lease in   which title (ownership) to the asset will transfer at or before the end of the lease to the lessee.   These types of leases contain a purchase option and title can transfer at the end of the lease.   These can include a sales type lease, direct financing lease, and leveraged leases. An &ldquo;operating   lease&rdquo; is typically a short-term lease in which the leased equipment will remain the property of   the leasing company at the end of the lease. Based upon the information included in the question,   this would meet the definition of an &ldquo;operating&rdquo; lease since the lease term is one (1) year. In the   case of an operating lease, the lessor/leasing company that leases the equipment is the party   responsible for reporting and paying the property taxes. The leasing company will report this   leased equipment in the pools using the Form 103. In addition, the leasing company will file   Form 103-O, Schedule 1. The accounting business (lessee) will need to complete Form 103-N,   Schedule I. The purpose of filing the Form 103-N is to disclose that you are in possession of   these two leased items and that the leasing company/lessor is the owner of this equipment.</p>"
"I have two old injection mold machines that have been removed from service and
replaced with new machines. These old machines have been moved to my warehouse and are going to be sold. Do I still have to report these two injection mold machines?","<p>Yes. When machinery and equipment has been removed from service and is awaiting disposal on  the assessment date, it is valued as &ldquo;permanently retired equipment&rdquo; pursuant to 50 IAC 4.2-4-  Page 11 of 12  3(d). This property would be reported on the Form 103-Long, line 61, at its net scrap or net sale   value. In reporting this equipment, you should also file a Form 106 explaining this adjustment.</p>"
"What qualifies for the abnormal obsolescence deduction and how do I claim it on the
property tax return?","<p>50 IAC 4.2-9-3(a) defines &ldquo;abnormal obsolescence&rdquo; as meaning that obsolescence which occurs  as a result of factors over which the taxpayer has no control and is unanticipated, unexpected,   and cannot reasonably be foreseen by a prudent businessperson prior to the occurrence. It is of a   nonrecurring nature and includes unforeseen changes in market values, exceptional technological   obsolescence, or destruction by catastrophe that has a direct effect upon the value of the personal   property of the taxpayer at the tax situs in question on a going concern basis. It is important to   understand that functional obsolescence and external/economic obsolescence are market value   concepts while normal obsolescence and abnormal obsolescence are concepts used in Indiana&rsquo;s   true tax value system. These two concepts of obsolescence have entirely different functions and   should not be intermingled. Please refer to the following memos for further detail:  <a href=""http://www.in.gov/dlgf/files/090821_-_Wood_Memo_- _Abnormal_Obsolescence_and_Personal_Property_Assessments.pdf and http://www.in.gov/dlgf/files/110418_-_Wood_Memo_-_Abnormal_Obsolescence_FAQs.pdf"" target=""_blank"">http://www.in.gov/dlgf/files/090821_-_Wood_Memo_-  _Abnormal_Obsolescence_and_Personal_Property_Assessments.pdf and   http://www.in.gov/dlgf/files/110418_-_Wood_Memo_-_Abnormal_Obsolescence_FAQs.pdf</a></p>"
What is the timeframe for an assessor to change a personal property assessment?,"<p>If the taxpayer&rsquo;s personal property return for a particular year substantially complies with the  applicable laws and regulations, an assessing official or a county property tax assessment board   of appeals (PTABOA) may change the assessed value claimed by the taxpayer on the return only   within the time period prescribed in IC 6-1.1-16-1, meaning a township assessor has until   September 15 or four months after the return is filed (whichever is later) and the county assessor   or the PTABOA has until October 30 or five months after the return is filed to make a change to   an assessment without conducting a full audit. Otherwise, if a taxpayer files a personal property   return for a particular year, personal property which is omitted from or undervalued on the return  may be assessed, or its assessed value may be increased, only if proper notice is given within   three years after the date the return is filed. If a taxpayer fails to file a personal property return   for a particular year, the taxpayer&rsquo;s personal property may be assessed for that year only if   proper notice is given within ten years after the date on which the return for that year should   have been filed. These time limitations would apply to the review function of the PTABOA, but   not the appeal function under IC 6-1.1-15.</p>"
"I timely filed my business personal property return on May 15. However, on June 25, I received a Form 113/PP from the county assessor advising me that my assessment was increased from $128,200 to $142,000. The county provided an explanation of this change","<p>Yes, you can appeal this change in assessment to the county property tax assessment board of   appeals (PTABOA). This notice of appeal must be filed not later than forty-five (45) days after   the date of the Form 113/PP with the township assessor (if any) or the county assessor.  Instructions for completing this notice of appeal can be found at the top of the Form 113/PP.</p>"
"I have personal property in my possession that does not belong to me, but I do not want to report this to the assessor because I don’t want the owners to have to pay taxes on it either. Could I get in trouble for this?","<p>The Department&rsquo;s rules state that the person in possession of the personal property is liable for  the taxes on the property unless he establishes that the property is being assessed and taxed in  the name of the owner, or the owner is liable for the taxes under a contract with that person and   that person files a correct Form 103-N If the person in possession refuses to establish this, the   assessor could estimate the value of the personal property and place that assessment on the   person in possession. (See 50 IAC 4.2-2-4 for more information on this topic.)</p>"
In filing my personal property return I have reported all the equipment that is shown on my depreciation schedule. My accountant removes from the depreciation schedule the equipment once it becomes fully depreciated. If I am still using these fully deprec,"<p>Yes. The fully depreciated assets that have been written off that you are still in possession of are  required to be reported on the personal property return. It is important to understand that being   fully depreciated relates to expenses for federal income tax purposes, while Indiana&rsquo;s personal   property tax system is an ad valorem tax which remains in place while the asset is used in the   production of income. This is further explained in 50 IAC 4.2-4-3.</p>"
"In my tool and die business, I have two (2) CNC milling machines that I am leasing. These machines are on a five (5) year lease with an option to purchase each of these machines at the end of the lease for one dollar ($1). I thought since these machines a","<p>The personal property rule has a section (50 IAC 4.2-8) on leased equipment. Leased equipment   is defined as being either a capital or operating lease. A &ldquo;capital lease&rdquo; is defined as lease in   which title (ownership) to the asset will transfer at or before the end of the lease to the lessee.   These types of leases contain a purchase option and title can transfer at the end of the lease.   These can include a sales type lease, direct financing lease, and leveraged leases. An &ldquo;operating   lease&rdquo; is typically a short-term lease in which the leased equipment will remain the property of   the leasing company at the end of the lease. Based upon the information included in the question,   this would be a &ldquo;capital&rdquo; lease. In the case of a capital lease, the lessee/possessor of the leased   equipment is the party responsible for reporting and paying the property taxes. These leased   CNC machines should be reported in the pools on your Form 103. In addition, you will need to   complete Form 103-N, Schedule II. The leasing company will complete Form 103-O, Schedule   II, which will disclose that the owned leased equipment is a capital lease to be assessed to the   person in possession of the property (in this case, the tool and die business). Proper disclosure of   the lease agreement on the Form 103-N and Form 103-O will lessen the possibility of a double   assessment occurring.</p>"
How are computer software costs handled? Do I need to report the software costs on my personal property return?,"<p>Computers, including the hardware and &ldquo;operational&rdquo; software, must be reported on the personal  property return. Operational software consists of the software that makes the computer hardware   function. Application software consists of the program that details the operations the computer   equipment is to perform to achieve the specific objective of the user. If the value recorded on the   books and records reflects charges for customer support services such as educational services,   maintenance, or application software that relate to future periods and not to the value of the   tangible personal property, the charges may be deducted as nonassessable intangible personal   property (to the extent that a separate charge or value can be identified). This is further discussed   in 50 IAC 4.2-4-3(f) and (g).</p>"
"If I file a Form 103-Short for an assessment date, do I have to continue using the short form or can I switch and use the Form 103-Long?","<p>Each assessment year stands alone, so any business could file the Form 103-Long; however,  smaller businesses may elect to file the Form 103-Short if they meet the requirements listed on   the form. This means it is possible  the short form the prior year.</p>"
What are Special Tools? (tooling),"<p>Special tooling includes, but is not limited to, tools, dies, jigs, fixtures, gauges, molds, and  patterns acquired or made for the production of products or product models which are of such   specialized nature that their utility generally ceases with the modification or discontinuance of   such products or product models. It is not the machine used to manufacture the product.</p>"
"I file personal property tax returns in multiple counties and one county is requesting
that every taxpayer reconcile last year’s return to this year’s return by providing 
information on acquisitions and disposals. Can this county do that?","<p>No, this information is not required by statute or by the Department&rsquo;s administrative code, so a  county cannot set a county-wide policy to request it. While an assessor cannot request this   information on a county-wide basis at the time of filing, an assessor does have the responsibility   of reviewing returns once they are filed. If questions arise during that review, the assessor has the   authority to request a taxpayer&rsquo;s books and records or explanations on the information and   amounts reflected on that return.</p>"
How are Special Tools reported for Personal Property Tax Purposes?,<p>They are reported on Form 103-T. (State Form #22667) The total cost of acquisitions since the  last assessment date is valued at 30% of cost. The total cost of acquisitions prior to the last   assessment date is valued at 3% of cost. The total value is carried to Line 60 of Form 103-Long.  They are not subject to the 30% floor computation.</p>
"I have business personal property located in several townships within a county. If I send the county assessor a spreadsheet along with a cover letter requesting him/her to calculate the assessments and place them in the proper taxing district, would that ","<p>No, the personal property tax system in Indiana is a self-assessment system where the taxpayer  determines what his assessment should be, and the assessor reviews that assessment. The mailing   of a cover letter with an attached spreadsheet would not constitute the filing of a personal   property return, so late filing penalties would apply if a return is not timely filed.</p>"
I have business personal property located in several counties. Am I permitted to report all the equipment spread out through each of these counties in one taxing district for each county?,<p>No. An assessment must be filed in each taxing district within each county where property has a  tax situs.</p>
"I have an irrigation system on my farm. Is this system assessable as real or personal
property?","<p>This system is a piece of equipment and would be assessable as personal property. This would   include the pivot, the well, the power wiring, and the pumps and motors associated with the  irrigation system.</p>"
"I timely filed my business personal property return but later determined it was filed
incorrectly. Are there any provisions for “amending” a filed return?","<p>Yes. If you timely filed your original return, you may amend this return one time. This would be   done by filing another return and showing &ldquo;Amended&rdquo; at the top of the return. The amended   return must be filed within twelve months of the due date of original return. In other words, the   amended return would be due by May 15 of the following year or within twelve months of the   extended due date, if an extension was granted. A taxpayer may claim on an amended personal   property tax return any adjustment or exemption that would have been allowable under any   statute or rule adopted by the Department, if the adjustment or exemption had been claimed on   the original personal property tax return. A return that is filed late cannot be amended.</p>"
"In filing my personal property return, I’m not sure which of the four (4) pools I should
report my equipment in. Is there any guidance on this?",<p>Yes. All equipment costs should be reported in the pools based upon the depreciable life  assigned for federal tax purposes. Most equipment generally will fall into Pool #2. This is also   discussed in the personal property rule at 50 IAC 4.2-4-5.</p>
Has business personal property tax been eliminated?,"<p>No, it has not been eliminated. However, there were several legislative changes in 2014,  including the creation of a &ldquo;super abatement&rsquo; (whereby a taxpayer could get up to a 20-year   property tax abatement) and optional exemptions for qualifying new business personal property   (IC 6-1.1-10.3) and qualifying business personal property with an acquisition cost of less than   $20,000 (IC 6-1.1-3-7.2). These provisions are effective July 1, 2015.</p>"
"My dad sold me his business for one dollar ($1.00). Am I still required to report this
equipment since none of the equipment has been capitalized and depreciated?",Yes. The equipment is used in the production of income and needs to be reported. 50 IAC 4.2-4-3(e) states that equipment recorded on the books at a nominal or no value must be reported at its actual acquisition cost determined by reference to the insurable value of the equipment.
"I have several assets on my depreciation schedule which I’m not sure should be
reported as personal property or assessed as real property. Are there any guidelines to help distinguish this?",<p>Yes. Included in the personal property rule (50 IAC 4.2) is a guide intended to assist in the  identification of property as to being either real or personal property. (See 50 IAC 4.2-4-10)</p>
Why is the grain leg assessed as personal property and the grain bin that it is attached to assessed as real property?,"<p>The use of the asset is the key. The grain bin, used for storage, is classified in 50 IAC 4.2-4-10 as   real property while the legs and other loading/unloading systems are classified as part of the   machinery and equipment which is assessed as personal property. The same theory applies to   automatic feeding and watering systems in livestock or poultry buildings since their use pertains   to the operation and not the structure of the building.</p>"
"Why is the well for my house assessed as real property and the well for my irrigation
system assessed as personal property?","<p>A well for the home is assessed as a part of the one-acre homesite price which includes a well  and septic (or water supply and sewage service if in a city or town). The well is not assessed   separately but as a part of that piece of land.  All other wells are treated as personal property. The well to irrigate the field is simply a piece of   equipment that supplies water for the irrigation system. The well that provides water for poultry   and livestock is also personal property.  Occasionally, a well serves both functions &ndash; providing water for the home, as well as for   livestock or irrigation. In that case, the well would be assessed as real property in the one-acre   homesite price, and the cost of piping the water to the barn or irrigation system would be   personal property.  Deciding that one well is real property and another well is personal property because of its use is   not uncommon. The same distinction is made for electric power since some electric power has a   building-related use and is assessed as real property, while other electrical power has a use   related to the operation of equipment and is assessed as personal property.</p>"
Are there penalties if I fail to file my personal property return by the due date of May 15?,"<p>Yes. If you fail to file a return by the due date of May 15, a penalty of twenty-five dollars ($25)   will be applied. In addition, if you fail to file a return within thirty (30) days after such return is   due, a penalty equal to twenty percent (20%) of the tax determined to be due will be imposed.</p>"
"As a follow-up question, what if the taxpayer expensed the asset in the first year?","<p>This is a depreciation expense for federal income tax purposes, so the tax basis would be the   value for that asset for Indiana property tax purposes until it is retired through sale, exchange,   scrapped, etc. For example, a $25,000 asset that was fully depreciated in the first year would   have a tax basis of $25,000 for Indiana property tax purposes until it was retired.</p>"
"I have retired from farming and now cash rent all my farm land. I elected not to sell my farm equipment which is stored in two large pole barns. Since I have retired from 
farming, do I have to report and pay property taxes on this equipment?","<p>Yes. The Indiana Code states that personal property that is held, used, or consumed in the  production of income or held as an investment is assessable. 50 IAC 4.2-1-1.1(n) also states that   the asset is assessed until it is retired from service. Examples of an asset being retired from   service include the sale of the property or the conversion to personal use. While it may be   possible to convert a small tractor with a mower to personal use, a combine or other farming   equipment could not be considered a household item. The answer to some questions are fact   sensitive because it is possible that the retired farmer rented his farm land to his sons and while   the retired farmer is not using this equipment, his sons are using the equipment in the production   of income. It is also possible that the farmer continues to claim a depreciation expense on the   equipment or intends to only cash rent the farm land for one year. Until the equipment is retired   from service, it is assessable.</p>"
"I retired from farming and sold my farm and all the farm equipment except a small
tractor and bush hog mower which I use a few times a year to mow my yard. Do I still have to report this equipment on the Form 102?","<p>It is possible that this equipment would not be assessable if it is not used in a trade or business;   not held, used, or consumed in the production of income; or not held as an investment. 50 IAC   4.2-1-1.1(n) states that the asset is assessed until it is retired from service and the conversion to   personal use is one of the examples given to retire an asset. While property used solely for the   purpose of mowing a person&rsquo;s yard would not be assessable, the Department gives great   deference to local control since the determination of whether an asset meets the qualifications as   personal property would be case specific.</p>"
"The Internal Revenue Service changed the method that trade-ins are handled for
federal income tax purposes. Could you tell me what the basis of this asset would be in the following example?","<p>A taxpayer purchased a piece of equipment for $70,000. Three  years later, the taxpayer traded in the equipment for a more expensive piece of   equipment that serves the same purpose. The net book value of the trade-in was $40,000   and the taxpayer paid an additional $50,000 in cash. The bill of sale shows that the   dealer gave the taxpayer a significant discount off of the list price of the new   equipment. The manufacturer&rsquo;s suggested retail price for the new piece of the   equipment was $120,000. The dealer gave a $15,000 discount and allowed a trade-in   value of $55,000 which left a balance due of $50,000.</p>
<p>For personal property tax purposes in the State of Indiana, the new piece of equipment has a tax   basis of $90,000 (net book value plus cash boot). On the personal property return, the taxpayer   should report the basis of the new equipment at the $90,000 amount and not the list price of   $120,000.</p>"
"I mailed my personal property return timely last year to the county assessor instead of the township assessor. I just received my tax bill, and it has a $25 penalty plus the 20% of the tax due penalty. Why would I get a penalty?","<p>The Department&rsquo;s manual states that the return must be filed with the proper assessing official   (&ldquo;&lsquo;Original personal property return&rsquo; means a personal property tax return filed with the proper   assessing official by May15 or, if an extension is granted, the extended filing date...Failure to   file a return or be granted an extension of time to file a return by May 15 as required by law will   result in the imposition of a twenty-five dollar ($25) penalty.&rdquo;). Thus, the taxpayer may have   timely filed, but he filed with the wrong entity, so he did not file &ldquo;as required by law.&rdquo;</p>
<p>Additionally, IC 6-1.1-3-7 states that a taxpayer shall, on or before the filing date of each year,   file a personal property return with the assessor of each township in which the taxpayer&rsquo;s   personal property is subject to assessment; or the county assessor if there is no township assessor   for a township in which the taxpayer's personal property is subject to assessment.</p>
<p>Please refer to the following map  <a href=""http://www.in.gov/dlgf/files/Township_Assessor_Referendum_Results.pdf"" target=""_blank"">http://www.in.gov/dlgf/files/Township_Assessor_Referendum_Results.pdf</a> for remaining   township assessors.</p>"
"What happens if the May 15 due date for filing a personal property return falls on a
Saturday or Sunday? When would the personal property return be due?","<p>The return would be due (or postmarked) on the next succeeding business day that is not a  Saturday, Sunday, or federal or state recognized holiday. Please see  <a href=""http://www.in.gov/dlgf/files/pdf/150102_-_Wood_Memo_-_2015_Assessment_Calendar.pdf"" target=""_blank"">http://www.in.gov/dlgf/files/pdf/150102_-_Wood_Memo_-_2015_Assessment_Calendar.pdf</a> for a current list of assessment dates/calendar.</p>"
"I have been real busy and will not be able to file my personal property return by May
15; can I request a filing extension?","<p>Yes. A written request for up to a thirty (30) day extension (to June 14) can be made to the  county or township assessor. The request must clearly state the reason for the request. This   request must be made prior to May 15. The assessing official will review the request and either   approve or disapprove the request in writing. The decision on whether or not to grant an   extension is made by the local assessing official, and he/she is not required to grant an extension.</p>"
Where do I mail my return?,"<p>The return must be filed with the township assessor, if any, or the county assessor of the county   in which the property is located. To find the address of the assessor, visit:   www.in.gov/dlgf/2440.htm.</p>"
"If I send my completed personal property return to the county assessor by mail, does the return have to be received by the assessing official by May 15 or postmarked by May 15?","<p>If you mail a personal property return, it would have to be postmarked by the post office on or  before May 15 to be considered a timely filed return. ""Postmarked"" does not mean the date   printed by a postage meter that affixes postage to the envelope or package, but must be   postmarked by the United States Postal Service as mailed on or before the due date.</p>"
"If I owned the business on March 1 and sold it six months later, would the taxes be pro-rated between me and the new owner?","<p>No, the owner of the personal property on the assessment date is liable for the taxes on that  assessment. If the sales contract contains terms which pro-rates the taxes, that is a legal   agreement between two parties but is not required by Indiana law.</p>"
Should I attach a check to the property tax return for the taxes due?,"<p>No, the tax rates will be calculated later in the year and tax bills will be mailed in time to be paid  by May 10 and November 10 of the following year. In other words, the taxes for the assessment   date of March 1, 2015 will be payable in 2016.</p>"
"I was attempting to calculate my estimated tax liability by multiplying my assessed
value times last year’s tax rate and the amount due seems unreasonable. Could I have made a mistake in the calculation?","<p>The tax rate is for every one hundred dollars ($100) of assessed valuation, so that adjustment  should be added to your calculation.&gt;</p>"
I am the owner of a small business and this is my first year to file a personal property tax return. What do I need to know?,"<p>A small business could file either the Form 103-Short or the Form 103-Long. Typically, the  taxpayer will review his depreciation schedule and determine which assets are assessed as real   property, which assets are subject to excise tax, and which assets are subject to personal property   tax. While taxpayers should refer to 50 IAC 4.2 for detailed information, examples of personal   property would include office equipment, other equipment, and signs. Only personal property is   reported on this form for taxation. While the Form 103-Short only has one pool used for   reporting purposes, the Form 103-Long has four pools. Determination of which pool should be   used is based on the federal life assigned to the asset. Once the proper pool is determined, the   cost of the assets is reported on the appropriate line within that pool based on the Date of   Acquisition. There is a 30% floor so the actual assessment is generally the greater of the actual   True Tax Value calculated from the pooling schedule or the 30% of cost calculation.</p>"
